ticket_id,issue_category,priority,ticket_text,suggested_response,sentiment,Resolution time,Resolution provided (technical)
T001,Delivery,High,My order was supposed to arrive yesterday but still not delivered.,We apologize for the delay. We have escalated your shipment and it will be delivered within 24 hours.,Negative,24 hours,Shipment escalated with courier
T002,Refund,Medium,I returned the product last week but havent received refund yet.,Thank you for your patience. Your refund has been processed and should reflect within 3-5 business days.,Neutral,3 days,Refund initiated to original payment method
T003,Billing,High,"Payment deducted twice for same order, pls help.",We regret the inconvenience. One transaction will be reversed within 2-3 business days.,Negative,2 days,Duplicate transaction reversed
T004,Technical,Low,App keeps crashing when I open orders section.,Please update the app to the latest version or reinstall it. Let us know if the issue persists.,Neutral,1 day,App update fix suggested
T005,Complaint,Medium,"Received wrong color item, not what I ordered.",We apologize for the mix-up. A replacement has been initiated for the correct item.,Negative,3 days,Replacement order created
T006,Account,High,"Cant login to my account, says invalid password.",Please reset your password using 'Forgot Password'. We've also sent a reset link to your email.,Negative,1 day,Password reset link generated
T007,Delivery,Medium,Delivery guy didnt call and marked it delivered.,We are sorry for this issue. We have raised a complaint and will arrange redelivery.,Negative,2 days,Redelivery arranged
T008,Refund,Low,Refund processed but not showing in bank.,Refunds can take 5-7 days. Kindly check after that or contact your bank.,Neutral,5 days,Refund trace initiated
T009,Technical,Medium,Website is very slow today.,We are currently experiencing high traffic. Our team is working to resolve it shortly.,Neutral,12 hours,Server load optimized
T010,Billing,High,Payment failed but money debited.,We regret the inconvenience. The amount will be auto-refunded within 3 days.,Negative,3 days,Payment reversal initiated
T011,Delivery,Low,Order arrived a bit late but its okay.,Thank you for your patience. We appreciate your understanding.,Positive,0,No action needed
T012,Complaint,High,Product is defective and not working.,We are sorry to hear that. A replacement or refund can be arranged as per your preference.,Negative,2 days,Return pickup scheduled
T013,Account,Medium,Account locked after multiple attempts.,Your account has been temporarily locked. Please try again after 30 minutes or reset your password.,Neutral,1 hour,Account unlock triggered
T014,Refund,High,Still waiting for refund after 10 days.,We apologize for the delay. We have escalated your case and refund will be processed within 24 hours.,Negative,1 day,Manual refund processed
T015,Billing,Medium,Invoice amount is incorrect.,Please share order details. We will verify and correct the billing discrepancy.,Neutral,2 days,Billing correction issued
T016,Delivery,High,Order stuck in transit for 5 days.,We are investigating with courier. Expect delivery within 48 hours.,Negative,2 days,Shipment expedited
T017,Technical,Low,Cant apply coupon code.,Please ensure the code is valid and applicable. Try clearing cache or using another browser.,Neutral,1 day,Coupon validation fixed
T018,Complaint,Medium,Packaging was damaged.,We apologize. We will ensure better packaging in future and can arrange replacement if needed.,Negative,2 days,Replacement approved
T019,Account,High,My account got hacked I think.,We have secured your account. Please reset your password immediately.,Negative,1 day,Security reset enforced
T020,Refund,Medium,Refund amount is less than expected.,We will review your case and adjust any discrepancy if found.,Neutral,3 days,Partial refund corrected
T021,Delivery,High,"Delivery delayed again, very frustrating.",We understand your concern. Your order is prioritized and will arrive soon.,Negative,1 day,Priority delivery assigned
T022,Billing,Low,GST not showing in invoice.,We will update your invoice with GST details shortly.,Neutral,1 day,Invoice regenerated
T023,Technical,Medium,OTP not coming.,Please check network and spam folder. We have resent the OTP.,Negative,1 hour,OTP resend triggered
T024,Complaint,High,"Received used product, unacceptable.",We sincerely apologize. Replacement will be shipped immediately.,Negative,2 days,Replacement initiated
T025,Account,Low,How to change my email id?,You can update email in account settings under profile section.,Neutral,1 day,User guided to settings
T026,Refund,Medium,Return picked but refund pending.,Refund will be processed within 3 days after quality check.,Neutral,3 days,QC completed refund released
T027,Delivery,High,Order not delivered even after out for delivery.,We regret the inconvenience. Delivery will be reattempted today.,Negative,1 day,Reattempt scheduled
T028,Technical,Low,App logout automatically.,Please reinstall app and update credentials.,Neutral,1 day,Session bug fixed
T029,Billing,Medium,Charged extra shipping fee.,We will verify and refund excess amount.,Neutral,2 days,Shipping fee adjusted
T030,Complaint,High,"Worst experience, product broken.",We apologize deeply. Replacement/refund is being processed.,Negative,2 days,Return pickup arranged
T031,Account,Medium,Forgot password pls help.,Reset link sent to your registered email.,Neutral,1 hour,Password reset link sent
T032,Refund,High,Need urgent refund for cancelled order.,Refund will be prioritized and processed within 24 hours.,Neutral,1 day,Priority refund issued
T033,Delivery,Medium,Package delivered to wrong address.,We are investigating and will arrange redelivery.,Negative,2 days,Address correction applied
T034,Technical,Low,Images not loading properly.,Please check internet connection or clear cache.,Neutral,1 day,Cache issue resolved
T035,Billing,High,Card charged but order not placed.,Amount will be reversed automatically within 3 days.,Negative,3 days,Transaction rollback
T036,Complaint,Medium,Late delivery ruined my plan.,We apologize. We will improve our delivery timelines.,Negative,1 day,Apology compensation issued
T037,Account,High,Account suspended without reason.,We are reviewing your account and will update shortly.,Negative,2 days,Account review completed
T038,Refund,Low,Refund received thanks.,Glad to assist you. Thank you for your patience.,Positive,0,No action needed
T039,Delivery,High,Tracking not updating from 3 days.,We are checking with courier and will update soon.,Neutral,1 day,Tracking refreshed
T040,Technical,Medium,Search not working properly.,Please update app. Issue has been fixed.,Neutral,1 day,Search bug fixed
T101,Delivery,High,"My order is still showing out for delivery since morning, no update yet.",We apologize for the delay. We have contacted the courier partner and your order will be delivered by end of day.,Negative,12 hours,Delivery status updated and courier contacted
T102,Refund,Medium,Its been 4 days I returned item but refund not yet.,Thank you for your patience. Your refund has been processed and will reflect within 2-3 days.,Neutral,2 days,Refund processed after return verification
T103,Billing,High,Money deducted but order failed what is this?,We regret the inconvenience. The deducted amount will be refunded within 3 business days.,Negative,3 days,Failed transaction reversed
T104,Technical,Low,App not opening properly after update.,Please reinstall the app or clear cache. Our team has released a fix in latest version.,Neutral,1 day,App patch update applied
T105,Complaint,High,Received completely different product very disappointed.,We sincerely apologize. A replacement has been initiated and pickup will be scheduled soon.,Negative,2 days,Wrong item return and replacement processed
T106,Account,Medium,Not able to update my phone number.,Please go to account settings and verify OTP. Contact us if issue persists.,Neutral,1 day,Profile update issue resolved
